YEARID,WEEKOFYEARID,Monetary,YearWeek
2010,48,149386.33,2010-48
2010,49,213447.72,2010-49
2010,50,163770.73,2010-50
2010,51,46109.11,2010-51
2011,1,114865.27,2011-1
2011,2,154714.94,2011-2
2011,3,175757.98,2011-3
2011,4,105288.77,2011-4
2011,5,106095.23,2011-5
2011,6,88015.42,2011-6
2011,7,126050.4,2011-7
2011,8,130687.36,2011-8
2011,9,117600.82,2011-9
2011,10,112338.0,2011-10
2011,11,138278.82,2011-11
2011,12,129918.43,2011-12
2011,13,143977.03,2011-13
2011,14,119961.92,2011-14
2011,15,135142.201,2011-15
2011,16,116090.02,2011-16
2011,17,73474.56,2011-17
2011,18,131329.18,2011-18
2011,19,178850.25,2011-19
2011,20,196269.92,2011-20
2011,21,146976.9,2011-21
2011,22,102371.9,2011-22
2011,23,194019.08,2011-23
2011,24,171940.3,2011-24
2011,25,112818.82,2011-25
2011,26,116479.92,2011-26
2011,27,131383.74,2011-27
2011,28,118297.88,2011-28
2011,29,167519.81,2011-29
2011,30,164667.901,2011-30
2011,31,156185.19,2011-31
2011,32,143652.21,2011-32
2011,33,168080.69,2011-33
2011,34,148051.26,2011-34
2011,35,114046.78,2011-35
2011,36,167004.06,2011-36
2011,37,209167.98,2011-37
2011,38,309569.211,2011-38
2011,39,194007.851,2011-39
2011,40,297116.86,2011-40
2011,41,204423.28,2011-41
2011,42,255461.64,2011-42
2011,43,237685.49,2011-43
2011,44,260628.77,2011-44
2011,45,264765.98,2011-45
2011,46,277773.94,2011-46
2011,47,249532.68,2011-47
2011,48,251788.22,2011-48
2011,49,408569.15,2011-49
